signal_id,market_id,snapshot_type,snapshot_time_utc,best_bid,best_ask,yes_price
933391e4-947e-41f3-ae30-b240b8e8696b,920355,1h,2026-01-22 19:02:29.777698+00:00,0.086,0.182,0.134
fd7d7fbd-2554-46ec-aff9-08f7dd6549b4,1065983,1h,2026-01-22 19:02:29.777698+00:00,0.22,0.54,0.38
adb4ab6f-123e-4074-8365-37d5fcf30885,920355,1h,2026-01-22 19:02:29.777698+00:00,0.086,0.182,0.134
e6d28e2f-e66a-4285-9721-67bd1e1619eb,1236230,24h,2026-01-22 19:48:53.001581+00:00,0.12,0.13,0.125
2891cb54-9ea8-43b1-8efb-ad432ca154bf,1032304,24h,2026-01-22 19:48:53.001581+00:00,0.534,0.565,0.5495
5909aa0d-f2ac-4b2f-8c78-bafe1a3fd983,1082795,24h,2026-01-22 19:48:53.001581+00:00,0.41,0.44,0.425
e2f8b6b0-9d6f-4424-88fc-759500ceeaf3,1082797,24h,2026-01-22 19:48:53.001581+00:00,0.45,0.47,0.46
9579de8a-858f-40af-8bd9-f332f7c43319,1192702,24h,2026-01-22 19:48:53.001581+00:00,0.999,1.0,1
622823a2-8458-4cd7-91d7-75ef98d5e860,1192705,24h,2026-01-22 19:48:53.001581+00:00,,0.001,0
c64b3ac2-758c-4389-8353-11eed3206311,1217482,24h,2026-01-22 19:48:53.001581+00:00,0.14,0.15,0.145
bac17643-fc99-4a2d-bebb-371b0cc0d985,1065983,1h,2026-01-22 20:18:48.588440+00:00,0.09,0.14,0.115
40c1b414-e998-475e-a588-830448347e7d,1065983,1h,2026-01-22 20:45:37.479063+00:00,0.13,0.18,0.155
8d6998f5-7f41-422c-9121-76dc8135c1c9,1236531,24h,2026-01-22 22:16:42.613206+00:00,,0.001,0
fbd9b9ff-5140-46c0-8d4d-8bd29a77b729,1065983,24h,2026-01-22 22:57:39.282639+00:00,0.011,0.041,0.026
0d16b75f-97ff-4eb4-bc8e-b84be2e33f70,1236531,24h,2026-01-22 22:57:39.282639+00:00,,0.001,0
e6a99817-96c5-472a-8dea-09989fdb81f1,1199783,1h,2026-01-22 22:57:39.282639+00:00,0.189,0.206,0.1975
742f5535-ca54-42b6-a595-63e0d67715cb,1243277,1h,2026-01-23 00:57:45.076093+00:00,0.2,0.3,0.25
9f95eff3-65d6-4cf4-85ce-0e46906bde89,1236531,24h,2026-01-23 02:56:56.927544+00:00,,0.001,0
9a7d3a23-d358-4252-abb1-90cea4d396ea,676786,1h,2026-01-23 04:02:20.005519+00:00,0.044,0.3,0.172
344b825d-ae66-4233-9ffa-5c849e79f4ab,1032304,1h,2026-01-23 04:02:20.005519+00:00,0.776,0.791,0.7835
cea8323a-e5ae-47d6-b83f-54c59563028f,1172396,1h,2026-01-23 05:20:20.154481+00:00,0.277,0.298,0.2875
e4458eba-7ec7-488f-afc2-744c0d18f409,1065983,24h,2026-01-23 06:27:12.990212+00:00,0.02,0.026,0.023
fa293c8a-4646-4eb5-a612-e30621c49a2c,663472,24h,2026-01-23 11:41:07.457620+00:00,0.24,0.26,0.25
9f3359f8-e78e-43f8-a754-c10585ae48bb,920347,24h,2026-01-23 11:41:07.457620+00:00,0.03,0.037,0.0335
3e050546-85e4-492f-b52b-cdaf193ed877,663472,24h,2026-01-23 11:54:52.765785+00:00,0.24,0.26,0.25
0da9f47c-203a-41c9-a0f4-2d58b6262cf0,1065913,1h,2026-01-23 12:24:22.913350+00:00,0.57,0.65,0.61
cdf4e1e8-3cc9-42fe-907d-1f2391f8e987,690701,24h,2026-01-23 13:14:21.514046+00:00,0.981,0.994,0.9875
a1093be8-3372-435b-8adc-eecafe20372e,690702,24h,2026-01-23 13:14:21.514046+00:00,0.71,0.77,0.74
2bd6deaf-8284-498e-9bb4-154dce7c673d,1192651,24h,2026-01-23 14:17:02.654047+00:00,,0.001,0
bdb902dd-33aa-424d-a4c5-b1b2539b50e0,1192705,24h,2026-01-23 14:17:02.654047+00:00,,0.001,0
39de70eb-5344-426a-a476-16528ccb68f1,1114183,1h,2026-01-23 15:00:46.572678+00:00,0.42,0.57,0.495
cd1e018c-8675-4de7-95b5-0848603a3529,1065913,1h,2026-01-23 15:00:46.572678+00:00,0.22,0.25,0.235
bf351908-6dcd-41db-8714-b0e8579a9fa0,1192705,24h,2026-01-23 15:28:44.546177+00:00,,0.001,0
e517e7d0-75ba-4e70-94eb-429f9108babd,1199139,1h,2026-01-23 15:49:28.010244+00:00,0.91,0.947,0.9285
42453ee9-ddd9-4e87-b95d-916697506f7c,1065983,24h,2026-01-23 16:47:02.736730+00:00,0.007,0.011,0.009
9c2fe21b-0022-49c9-8d06-857d7d58d190,1065983,24h,2026-01-23 17:04:52.925173+00:00,0.007,0.009,0.008
8525c832-0d25-4c95-aeec-e0fb31912933,1249612,1h,2026-01-23 17:04:52.925173+00:00,0.1,0.33,0.215
88192d0a-14f1-49ed-b9cb-bd3c0139bf10,613851,24h,2026-01-23 17:35:01.628761+00:00,0.002,0.004,0.003
d1f0138d-5d46-4a2b-88f1-f8ff8af0203c,613853,24h,2026-01-23 17:35:01.628761+00:00,0.005,0.006,0.0055
10fc6ac5-8f4b-485f-bfe5-b68de386c829,690703,24h,2026-01-23 17:35:01.628761+00:00,0.09,0.15,0.12
6abdeab8-615b-4713-988b-2ec6e0d25593,690702,24h,2026-01-23 17:35:01.628761+00:00,0.963,0.97,0.9665
96b6865b-a885-4075-9881-1115d9262a12,1065983,24h,2026-01-23 17:35:01.628761+00:00,0.004,0.008,0.006
933391e4-947e-41f3-ae30-b240b8e8696b,920355,24h,2026-01-23 17:51:20.663898+00:00,0.047,0.068,0.0575
fd7d7fbd-2554-46ec-aff9-08f7dd6549b4,1065983,24h,2026-01-23 17:51:20.663898+00:00,0.009,0.032,0.0205
d709a24b-a3c4-47a9-a39e-bdc170fd8424,1199144,1h,2026-01-23 17:51:20.663898+00:00,,0.001,0.0005
c0821eca-9c8e-4a87-9af6-3c21ca0b9ef5,1199146,1h,2026-01-23 17:51:20.663898+00:00,0.999,1.0,0.9995
b73f99fb-87bd-4375-bc0f-9ed48ad6554c,1199177,1h,2026-01-23 17:51:20.663898+00:00,0.999,1.0,0.9995
adb4ab6f-123e-4074-8365-37d5fcf30885,920355,24h,2026-01-23 18:19:30.045697+00:00,0.047,0.063,0.055
feeb3af6-2d0b-4e5d-b0e8-078ed1813506,1199779,1h,2026-01-23 18:54:21.826383+00:00,0.985,0.989,0.987
bac17643-fc99-4a2d-bebb-371b0cc0d985,1065983,24h,2026-01-23 19:18:12.281475+00:00,0.009,0.062,0.0355
40c1b414-e998-475e-a588-830448347e7d,1065983,24h,2026-01-23 19:35:38.568152+00:00,0.011,0.056,0.0335
73458268-f102-40d3-9827-b69e19686563,690703,1h,2026-01-23 21:16:34.013860+00:00,,0.001,0.0005
c64da217-8034-40cf-9d4f-e8fc6ba72cc9,690703,1h,2026-01-23 21:47:58.512388+00:00,,0.001,0.0005
c46af325-4dd1-4f83-a26d-04db2d1bb089,1208040,1h,2026-01-23 21:47:58.512388+00:00,0.2,0.22,0.21
e6a99817-96c5-472a-8dea-09989fdb81f1,1199783,24h,2026-01-23 22:10:41.519329+00:00,,0.001,0.0005
742f5535-ca54-42b6-a595-63e0d67715cb,1243277,24h,2026-01-23 23:35:23.385836+00:00,0.3,0.32,0.31
9eb7dae1-d6a0-4828-8744-5b0cd127c92e,1252884,1h,2026-01-23 23:35:23.385836+00:00,0.58,0.92,0.75
9a7d3a23-d358-4252-abb1-90cea4d396ea,676786,24h,2026-01-24 03:52:59.361782+00:00,0.115,0.117,0.116
344b825d-ae66-4233-9ffa-5c849e79f4ab,1032304,24h,2026-01-24 03:52:59.361782+00:00,0.992,0.995,0.9935
cea8323a-e5ae-47d6-b83f-54c59563028f,1172396,24h,2026-01-24 04:27:45.055114+00:00,0.999,1,1
5a7eafa1-ba18-4ce7-9adc-6d6794f28e54,1065985,1h,2026-01-24 09:46:56.070096+00:00,0.27,0.35,0.31
0da9f47c-203a-41c9-a0f4-2d58b6262cf0,1065913,24h,2026-01-24 11:12:19.215866+00:00,0.025,0.03,0.0275
39de70eb-5344-426a-a476-16528ccb68f1,1114183,24h,2026-01-24 14:11:34.968617+00:00,0.41,0.44,0.425
cd1e018c-8675-4de7-95b5-0848603a3529,1065913,24h,2026-01-24 14:11:34.968617+00:00,0.029,0.046,0.0375
c2ac17bf-64be-4f30-b615-2b8aa63dc81f,1065985,1h,2026-01-24 14:11:34.968617+00:00,0.999,1.0,0.9995
e517e7d0-75ba-4e70-94eb-429f9108babd,1199139,24h,2026-01-24 14:48:29.246375+00:00,0.999,1,1
8525c832-0d25-4c95-aeec-e0fb31912933,1249612,24h,2026-01-24 15:53:55.921612+00:00,0.14,0.2,0.17
d709a24b-a3c4-47a9-a39e-bdc170fd8424,1199144,24h,2026-01-24 16:57:15.479026+00:00,,0.001,0
c0821eca-9c8e-4a87-9af6-3c21ca0b9ef5,1199146,24h,2026-01-24 16:57:15.479026+00:00,0.999,1.0,1
b73f99fb-87bd-4375-bc0f-9ed48ad6554c,1199177,24h,2026-01-24 16:57:15.479026+00:00,0.999,1.0,1
feeb3af6-2d0b-4e5d-b0e8-078ed1813506,1199779,24h,2026-01-24 17:46:50.397858+00:00,0.996,0.998,0.997
73458268-f102-40d3-9827-b69e19686563,690703,24h,2026-01-24 20:35:43.799783+00:00,,0.001,0
787ad796-91d0-4be7-8546-9670d0a4dbcb,1176472,1h,2026-01-24 20:35:43.799783+00:00,0.41,0.42,0.415
c64da217-8034-40cf-9d4f-e8fc6ba72cc9,690703,24h,2026-01-24 20:47:39.302359+00:00,,0.001,0
c46af325-4dd1-4f83-a26d-04db2d1bb089,1208040,24h,2026-01-24 20:47:39.302359+00:00,,0.001,0
9eb7dae1-d6a0-4828-8744-5b0cd127c92e,1252884,24h,2026-01-24 22:36:24.324928+00:00,0.72,0.77,0.745
b7168212-d9e4-4745-8d1d-8aae5460073e,1261306,1h,2026-01-25 04:33:17.725729+00:00,0.73,0.92,0.825
5c7e4707-6bff-43ff-a7a2-7c525c693f3c,1065915,1h,2026-01-25 07:34:46.620767+00:00,0.66,0.7,0.68
c4baf4d7-6db2-42c5-9690-26b57726b6b6,1065986,1h,2026-01-25 07:53:20.567498+00:00,0.43,0.45,0.44
da162f4c-1da7-4013-baef-00ce969587fe,1065986,1h,2026-01-25 08:15:47.651374+00:00,0.42,0.45,0.435
5a7eafa1-ba18-4ce7-9adc-6d6794f28e54,1065985,24h,2026-01-25 08:44:13.650630+00:00,0.999,1,1
e584dc47-f086-43f1-a961-fd15ba9efb78,1065915,1h,2026-01-25 11:28:07.948882+00:00,0.983,0.996,0.9895
3780e893-456b-4fae-9098-ffca17b660e6,1065986,1h,2026-01-25 11:28:07.948882+00:00,0.54,0.6,0.57
61277c4b-baa5-43b5-8384-a9184c3b5840,1250957,1h,2026-01-25 11:46:18.355515+00:00,0.06,0.44,0.25
0d8430d8-0ed3-4700-ba62-4470b2377fc7,1065986,1h,2026-01-25 11:46:18.355515+00:00,0.54,0.56,0.55
8fc76341-f616-43c1-9d0b-ffbf735df874,1250830,1h,2026-01-25 11:53:07.259286+00:00,0.09,0.76,0.425
c50c0cc6-4a82-422a-8737-cdf715b244bf,1250830,1h,2026-01-25 12:21:52.030404+00:00,0.09,0.76,0.425
c1d43532-a72d-4ad4-b08d-bc2212f4b3ce,1065915,1h,2026-01-25 12:21:52.030404+00:00,0.999,1.0,0.9995
c2ac17bf-64be-4f30-b615-2b8aa63dc81f,1065985,24h,2026-01-25 13:08:14.419399+00:00,0.999,1,1
547a75b0-e958-4eb3-8cd8-b9847e532f9f,1065915,1h,2026-01-25 13:08:14.419399+00:00,0.999,1,0.9995
118e9d80-1554-4164-95cf-af46280dd3a5,1065986,1h,2026-01-25 14:11:32.002926+00:00,0.37,0.63,0.5
97b8157c-2fec-4152-b916-b8348eaf5645,1082802,1h,2026-01-25 17:14:56.225438+00:00,0.8,0.81,0.805
d795f14b-0347-473f-920e-b47ddeb476e3,1214083,1h,2026-01-25 17:14:56.225438+00:00,0.999,1.0,0.9995
787ad796-91d0-4be7-8546-9670d0a4dbcb,1176472,24h,2026-01-25 19:17:49.355234+00:00,0.2,0.24,0.22
89acc168-342e-41b0-81a0-a7b5de5d1021,1217482,1h,2026-01-25 19:53:18.616060+00:00,0.694,0.7,0.697
d3a3a83e-a907-42e7-8dcf-9bf24102170e,1217482,1h,2026-01-25 20:13:40.046310+00:00,0.68,0.753,0.7165
1030bc60-dd5b-4173-b9ee-23f123f984b3,1217482,1h,2026-01-25 20:38:34.544288+00:00,0.768,0.779,0.7735
d126b413-7abe-48c9-88f5-0b2b7358afeb,1065916,1h,2026-01-25 22:37:22.350280+00:00,0.62,0.65,0.635
e1cb8e67-ca2e-4f7e-a9d5-12304c9d2c64,1217482,1h,2026-01-25 22:50:34.583212+00:00,0.605,0.667,0.636
b6ec621e-4063-416b-afd8-bf71c3d688f3,1217482,1h,2026-01-26 01:00:45.211278+00:00,0.268,0.323,0.2955
b7168212-d9e4-4745-8d1d-8aae5460073e,1261306,24h,2026-01-26 04:35:06.518412+00:00,0.82,0.86,0.84
df4393b2-7d7c-4cac-a699-427913cafa2b,1065916,1h,2026-01-26 04:35:06.518412+00:00,0.72,0.75,0.735
9f50d2eb-c9c5-4ba3-8a2a-a02caf411353,1217482,1h,2026-01-26 04:35:06.518412+00:00,,0.002,0.001
5c7e4707-6bff-43ff-a7a2-7c525c693f3c,1065915,24h,2026-01-26 06:40:21.834031+00:00,0.999,1,1
c4baf4d7-6db2-42c5-9690-26b57726b6b6,1065986,24h,2026-01-26 07:05:05.109647+00:00,0.027,0.038,0.0325
5860c87a-144f-4eaf-96a9-330fcb77142f,1032303,1h,2026-01-26 07:05:05.109647+00:00,0.772,0.778,0.775
5d3b8f9c-2688-4831-abbc-2701477b7b26,1032303,1h,2026-01-26 07:05:05.109647+00:00,0.772,0.778,0.775
da162f4c-1da7-4013-baef-00ce969587fe,1065986,24h,2026-01-26 07:37:50.218531+00:00,0.013,0.023,0.018
f876bc1c-44a3-4b83-a28f-ee9d93cf45e9,1176472,1h,2026-01-26 08:52:50.198956+00:00,0.45,0.56,0.505
e85772f1-661b-4010-8a55-94d62f7164e0,1065987,1h,2026-01-26 09:54:24.867754+00:00,0.5,0.53,0.515
e584dc47-f086-43f1-a961-fd15ba9efb78,1065915,24h,2026-01-26 10:17:25.815167+00:00,0.999,1.0,1
3780e893-456b-4fae-9098-ffca17b660e6,1065986,24h,2026-01-26 10:17:25.815167+00:00,0.013,0.023,0.018
61277c4b-baa5-43b5-8384-a9184c3b5840,1250957,24h,2026-01-26 10:48:24.674005+00:00,0.06,0.24,0.15
0d8430d8-0ed3-4700-ba62-4470b2377fc7,1065986,24h,2026-01-26 10:48:24.674005+00:00,0.015,0.032,0.0235
8fc76341-f616-43c1-9d0b-ffbf735df874,1250830,24h,2026-01-26 11:02:15.182289+00:00,0.22,0.57,0.395
c50c0cc6-4a82-422a-8737-cdf715b244bf,1250830,24h,2026-01-26 11:31:37.645816+00:00,0.22,0.58,0.4
c1d43532-a72d-4ad4-b08d-bc2212f4b3ce,1065915,24h,2026-01-26 11:31:37.645816+00:00,0.999,1.0,1
547a75b0-e958-4eb3-8cd8-b9847e532f9f,1065915,24h,2026-01-26 11:31:37.645816+00:00,0.999,1.0,1
aa1651eb-5901-484e-94a2-46dbeb23ffe5,1176472,1h,2026-01-26 11:31:37.645816+00:00,0.014,0.023,0.0185
118e9d80-1554-4164-95cf-af46280dd3a5,1065986,24h,2026-01-26 13:15:55.470014+00:00,0.018,0.026,0.022
4656c631-1691-4357-8ef8-526e82fb20be,1176472,1h,2026-01-26 13:15:55.470014+00:00,0.001,0.003,0.002
06fb9180-12c1-4ab2-a0f1-9046146b7250,1065916,1h,2026-01-26 14:20:25.651217+00:00,0.999,1,0.9995
87ac1d43-c3c7-4f75-88b4-3bcb5959b07e,1065919,1h,2026-01-26 15:15:35.108337+00:00,0.43,0.52,0.475
5eb70ec0-39da-4664-be65-f6b91ab40216,1065918,1h,2026-01-26 16:01:24.740274+00:00,0.47,0.52,0.495
7c28e5e4-a4bb-4730-b498-9b50d74b7a5c,1220912,1h,2026-01-26 16:01:24.740274+00:00,0.21,0.23,0.22
62c23f89-f879-4556-a2bc-e195c01324b1,1220955,1h,2026-01-26 16:01:24.740274+00:00,0.23,0.25,0.24
c45e19f7-024f-4795-b435-67e8e01c31a5,1242914,1h,2026-01-26 16:01:24.740274+00:00,0.4,0.43,0.415
665af3f7-5b22-4c53-8027-47104d7a48d2,1242917,1h,2026-01-26 16:01:24.740274+00:00,0.6,0.65,0.625
97b8157c-2fec-4152-b916-b8348eaf5645,1082802,24h,2026-01-26 16:49:47.476356+00:00,0.999,1.0,1
d795f14b-0347-473f-920e-b47ddeb476e3,1214083,24h,2026-01-26 16:49:47.476356+00:00,0.999,1.0,1
d3dea348-35e0-4c7c-a15b-42ecfbdca781,1065987,1h,2026-01-26 16:49:47.476356+00:00,0.21,0.24,0.225
8f816098-f650-4eb1-92d0-8f9886577605,1220911,1h,2026-01-26 16:49:47.476356+00:00,0.75,0.8,0.775
c7c118b3-d978-45d9-a395-c2d7af43bf51,1220910,1h,2026-01-26 16:49:47.476356+00:00,0.94,0.96,0.95
c558c379-2f56-4226-9c21-823d515d5b8d,1220912,1h,2026-01-26 16:49:47.476356+00:00,0.04,0.05,0.045
7677d6da-b310-43cc-8a7e-95463f239117,1220955,1h,2026-01-26 16:49:47.476356+00:00,0.05,0.06,0.055
86208f08-dfc2-4499-8840-7142c076bd45,1242917,1h,2026-01-26 17:17:39.144845+00:00,0.999,1,0.9995
3db2ff3b-ee5c-41c6-a9d8-7f5bea83bca6,1252876,1h,2026-01-26 18:01:29.459942+00:00,0.025,0.03,0.0275
